"会员","级别","评价星级","评价内容","时间","点赞数","评论数","追评时间","追评内容","页面网址","页面标题","采集时间"
"m***e","PLUS会员[试用]","star5","刚用了一会，不错，手机绝对是正品行货，因为去苹果官网查了下序列号，保修日期和我激活的时间是一样的，请放心购买，我是11月5号下午购买的11月7号中午就到了，说真的买之前一直很忐忑，因为是第一次在非自营家买的东西，肯定心里没谱，货收到了，激活后我才放心了，客服人不错，服务态度很好，因为心里紧张，第一次下单的时候马虎了直接选择不分期购买，我就像客服申请退款重新下单，也是分分钟返还了","2017-11-08 15:54","134","109",,,"https://item.jd.com/16580907535.html","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:57:08.5229787"
"w***g","PLUS会员","star5","兄弟姐妹们放心买！我第一次买也紧张！害怕！苦等了，盼了一天总算拿到真机了！完美！满意！我有数据线测试仪，测下来完美！谢谢卖家，给一个大大赞！托死全家！","2017-11-04 17:39","236","252",,,"https://item.jd.com/16580907535.html","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:57:08.9532653"
"中***通","京享值17098","star5","正品国行 没毛病 用了一天很好 京东物流给力 还会光顾本店","2017-11-10 13:49","49","49",,,"https://item.jd.com/16580907535.html","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:57:09.0733472"
"任芋明","PLUS会员","star5","3号下单6号才拿到。不过期待也是一种幸福。手机没话说。面部识别超屌。手感超棒。还送了软壳和钢化膜。也是不错的。朋友在自营抢的什么都没送。唯一有点不爽的就是本来是问客服他们家有没有无线充电器。客服跟我说有赠送的。还把我高兴的。结果一收到货没有。问客服说搞错了。","2017-11-06 19:05","46","33","[购买4天后追评]","检测过了！是正品！没问题！可以放心购买！","https://item.jd.com/16580907535.html","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:57:09.1914246"
"j***u","PLUS会员[试用]","star5","不错，用了五块钱券，和满减15券，东西手感不错，就是快递坑，放门卫就走了，被我喊过来当面开包裹，一边开一边说是代别人送的，万一有问题他不负责，京东物流咋了","2017-11-06 13:04","37","9",,,"https://item.jd.com/16580907535.html","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:57:09.2994972"
"l***8","PLUS会员","star5","从昨天下午16点多下单，到下午17点多收到货，24个多小时是非常忐忑不安的一天，看到没有晒图的评价和各种回复，心中无疑是充满了各种疑惑！直到看到下午快递员派送的信息还在纠结要不要拒收退回呢？ 直到打开的时候才发现，里面的配件和外包装都是和7P一样的，配件和7P的都是一样确定是原装国行，这个价格确实很值，我不是托我只是发表我的真实看法！值得入手！实体店加价2000还要等货，这个价格也是很划算的，之前和我一样没看到照片的亲们可以下手了，送的手机膜和壳确实不咋地，其他地买的今天也到货了！面部解锁很快，电池没有百分比显示也是纠结 看不到电量、其他的再用用几天在看！把官网买的也好去退掉了","2017-11-05 22:10","26","24",,,"https://item.jd.com/16580907535.html","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:57:09.4295838"
"1***7","京享值9422","star5","罢了找了好多iPhonex*了，京东也找了好多家也有便宜的，但是不敢买，最终选择了他家，服务很好，很有耐心问了好多问题，也一一解答，早上下的订单，第二天就到了，速度就是快，满意","2017-11-06 19:43","16","7",,,"https://item.jd.com/16580907535.html","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:57:09.5646732"
"云***青","PLUS会员","star5","前两天在官网抢不到，终于下狠心买了。没想到5号那天买到最低价9888，加上plus会员的211券，店铺15元券，全品叠加5元券，低于官网价买了。忐忑了好几天怕买到拆封的，仔细看了下充电线，插头，耳机应该都是原装的。可以回答那位江门没有的提问了。发广东，3天。","2017-11-08 15:19","20","15",,,"https://item.jd.com/16580907535.html","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:57:09.6977625"
"尤***v","PLUS会员","star5","还可以，将就，不是很习惯，原本说退掉的没办法啦拆都拆了，随便找了张膜来贴送的那个膜碎了。。。。。。。","2017-11-07 14:08","10","3",,,"https://item.jd.com/16580907535.html","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:57:09.8458605"
"1***3","PLUS会员","star5","我来评价让你们安心买......我真是抱着十分忐忑的心情买的? 11月3号搞了个京东会员，结果没抢到，就看到京东推荐的此店有现货，问了客服，说48小时内一定会发，就下单买了。买的时候真心觉得加价不算太多，可以接受。就怕配件被换啥的。。我估计你们都是担心这个。  然后11月3号晚上店家就给我发货了（问能不能发顺丰，说不行只能发京东物流），就发京东了，11月4号晚上到了我这里当地，11月5号一早就收到了。真的，还算快的啦，我觉得顺丰第二天也到不了，总之我对京东物流还是感到很满意的。。  拿到手就是你们看到我拍的这些东西。  是原封的，和之前拆的机子是一样的包装，应该是没问题的。盒内的数据线和耳机我是不会看，但是觉得还好吧，不像粗制滥造的，应该都是原装的。  机子很好，激活也没啥问题。还是比7p小了好多?   虽然是加价买的，但是单价太高了，店家加钱真的不算多的，比那些加价一两千的黄牛好太多了。总之各位放心买好了","2017-11-05 14:04","116","86","[购买3天后追评]","也不知道说了什么不准我回复评论了?真是醉了。。对不起回答不了问题。手机没问题，肯定是原封也肯定是国行。 配件是原装的，数据线有塞纸，塞在usb接头里面的，线上面的纸是一体的。 唯独电量百分比那里真的要适应，看不惯必须要下拉才能看见百分比。。。截图方便很多，单手掐左右就可以截图。iphonex 的视觉效果总感觉比7p感觉小很多。plus会员买还返了1w多京豆，相当于返100块钱了（虽然只能京东用）。","https://item.jd.com/16580907535.html","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:57:09.9819530"
"j***v","PLUS会员","star5","买了两个还是，一个银色一个黑色，银色自己用，黑色给男朋友用！使用了一天感觉还是很好的！","2017-11-07 10:30","88","99",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:57:12.8838845"
"tilamisu_","京享值10713","star5","手机刚开始用还不太习惯，有时候会faceid失灵；送的保护膜拆开就是裂的，压根没办法用！透明套就还可以；快递小哥很给力！","2017-11-16 01:02","6","2",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:57:13.1510612"
"j***6","PLUS会员","star5","很好呀，发货很快，2天就到了，哈哈，太惊艳了，正在慢慢习惯ios系统，流畅度很好，部分软件待适配","2017-11-07 22:31","10","2",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:57:13.2661391"
"j***0","京享值11038","star5","快递收到，虽然等了几天，还好东西完好无损收到，确实不错，之前还担心，收到快递，拆开检查，确保正品，店家也很好，我也咨询客服，担心手机在运送途中会被拆，所以，收到快递，我就很好的检查一番。","2017-11-16 19:13","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:57:13.3732104"
"x***j","PLUS会员","star5","是正品，物流速度很快，显示在路上，但实际上快递送到了，比想像要好，送的配件也很贴心，很棒很棒！","2017-11-07 16:52","2","2",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:57:13.4942910"
"新***买","PLUS会员","star5","非常漂亮，老婆很喜欢，上网速度快，小巧精制。物流快。我买的是最底价。全六星评价。商家发大财。","2017-11-12 21:19","6","4","[购买7天后追评]",,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:57:13.6113703"
"B***e","PLUS会员","star5","昨天下单，今天收到货，应该是正品，发票，啥的都齐全，不知道配件有没有被调包。不过可能性也小。","2017-11-05 18:25","13","7",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:57:13.7364523"
"凉城深巷s","PLUS会员","star5","签收了一直没评价，用了好几天才来评价。手机是国行正品！用着也还不错！???","2017-11-19 21:43","1","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:57:13.8645376"
"Z***G","PLUS会员","star5","都不上照片，早上刚到，你们自己看吧","2017-11-05 11:05","14","16",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:57:14.0126350"
"第***2","PLUS会员","star5","手机没问题。就是掉价200，很是无语。还不给保价！","2017-11-05 12:37","15","21",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:57:14.1557303"
"j***v","PLUS会员","star5","买了两个还是，一个银色一个黑色，银色自己用，黑色给男朋友用！使用了一天感觉还是很好的！","2017-11-07 10:29","11","5",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:57:16.7914871"
"晶***寶","京享值25147","star5","用了段时间才来评价的，总体不错就是有点重，还有就是怕碎屏，我看过了是国行的，放心买^_^","2017-11-07 19:51","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:57:16.9015604"
"阿佳--","PLUS会员[试用]","star5","下了个赌注在这家 当时点到京东自营但是没有抢到 自动跳到这家店铺 买了个小8买了个X 事实证明没有错 经过四天漫长又忐忑的等待 结果比较满意 客观评论一下 第一 大家都说物流慢发货慢 我并不觉得 上海到大连 四天收到手机 下午拍下 当晚发货 时间我觉得OK 第二 正品行货没毛病 但是小8给我发票了 而X却没有 一会要让客服补发 第三配件 我也不会看 但是同事在实体直营店买的 线也是硬的 并且隔膜材质也一样 应该不会被调包 第四 大家都纠结假货 我只想说 脑子是个好东西可惜你们没有 刚出X假货还没怀孕呢 各种软件都没适配 假货怎么可能这么快 当时想着就算直营店去买也会有有瑕疵的机器 概率问题 要是倒霉就找客服处理 第五 大家说的调价 一万多我都花了 涨自然是好 降价我也得忍着 毕竟当时的价格我是认可的。至于机器 发热不习惯软件不适配都是有的  需要时间改进 赠品确实太次 应该叫次品 但是无所谓 本来也没打算用 最后强调一条就是商家没有给我 X的发票 还好机器没问题 一旦有问题还是要协商解决 彼此麻烦 希望改进。用一段时间还会过来追评。要入手的童鞋可以买 但是要提前嘱咐客服带发票","2017-11-09 14:10","9","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:57:17.0086304"
